STATION_NAME,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WT07
EL PASO INTERNATIONAL AIRPORT TX US,20140101,0,0,43,63,25,2.5,20,60,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140102,0,0,45,57,33,4.5,90,90,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140103,0,0,43,61,31,8.1,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140104,0,0,54,66,44,10.1,250,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140105,0,0,49,57,31,11.4,360,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140106,0,0,35,48,22,3.4,50,50,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140107,0,0,35,52,19,3.4,170,170,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140108,0,0,47,65,35,4.9,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140109,0,0,49,63,31,6.9,240,240,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140110,0,0,55,63,45,14.3,260,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140111,0,0,51,65,33,5.6,220,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140112,0,0,53,68,40,15.4,270,280,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140113,0,0,53,60,40,9.2,10,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140114,0,0,47,62,30,3.8,70,360,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140115,0,0,44,62,29,5.6,230,230,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140116,0,0,47,64,29,4.5,350,10,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140117,0,0,47,61,28,2.2,240,170,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140118,0,0,45,65,27,3.4,50,340,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140119,0,0,47,64,30,4.9,220,220,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140120,0,0,49,69,31,3.6,80,80,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140121,0,0,51,63,38,2.9,80,70,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140122,0,0,48,64,35,4.3,30,20,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140123,0,0,47,51,29,11.9,70,70,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140124,0,0,33,49,26,2.7,90,90,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140125,0,0,42,62,30,3.1,250,250,-9999
EL PASO INTERNATIONAL AIRPORT TX US,20140126,0,0,56,71,45,13,280,280,-9999
